organism,contig_taxa
day0_DO_0_env_cell_control_000002001038,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002001135,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002001334,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002002334,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002002688,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000002003450,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002003780,SK_Bacteria
day0_DO_0_env_cell_control_000002004590,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002004898,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002005010,S_Synechococcus sp. LA31
day0_DO_0_env_cell_control_000002005817,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000002006641,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002007691,G_Gimesia
day0_DO_0_env_cell_control_000002008460,SK_Bacteria
day0_DO_0_env_cell_control_000002009022,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002011292,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002011547,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002012569,S_Synechococcus sp. LA31
day0_DO_0_env_cell_control_000002012922,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002013151,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002013554,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002014221,S_Synechococcus sp. BMK-MC-1
day0_DO_0_env_cell_control_000002014348,SK_Bacteria
day0_DO_0_env_cell_control_000002015582,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002015944,ST_Prosthecochloris aestuarii DSM 271
day0_DO_0_env_cell_control_000002016421,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002017103,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002021227,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000002024377,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002024673,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002025979,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002026948,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000002027596,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002028534,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002029709,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002031408,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002031446,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002032140,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002033142,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002033828,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002034687,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002034780,SK_Bacteria
day0_DO_0_env_cell_control_000002036452,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000002036922,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002037447,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002037633,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002037919,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002039386,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002040380,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002040511,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002042306,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002042535,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002043779,CL_Terrabacteria group
day0_DO_0_env_cell_control_000002043886,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002044660,S_Homo sapiens
day0_DO_0_env_cell_control_000002049478,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002050326,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002051073,O_Synechococcales
day0_DO_0_env_cell_control_000002054051,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002054757,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002055706,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002055765,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000002057755,S_Homo sapiens
day0_DO_0_env_cell_control_000002058135,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002060119,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002061460,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002062153,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002063038,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002064396,S_Cyanophage KBS-S-2A
day0_DO_0_env_cell_control_000002065030,S_Synechococcus sp. LA31
day0_DO_0_env_cell_control_000002065621,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002065805,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002068759,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002069103,S_Synechococcus sp. LA31
day0_DO_0_env_cell_control_000002069501,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002072156,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002072822,S_Synechococcus sp. LA31
day0_DO_0_env_cell_control_000002074368,F_Chlorobiaceae
day0_DO_0_env_cell_control_000002075157,S_Homo sapiens
day0_DO_0_env_cell_control_000002077585,CL_Terrabacteria group
day0_DO_0_env_cell_control_000002078537,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002078865,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000002083079,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002083704,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002084195,S_Homo sapiens
day0_DO_0_env_cell_control_000002084845,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002086143,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002086832,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002088152,O_Rhodobacterales
day0_DO_0_env_cell_control_000002088467,NR_cellular organisms
day0_DO_0_env_cell_control_000002088813,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000002089989,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000002090292,S_Synechococcus sp. NB0720_010
day7_DO_0_12C_cell_enriched_000000000724,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000001917,NR_Chlorobium/Pelodictyon group
day7_DO_0_12C_cell_enriched_000000002164,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000002425,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000003044,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000003263,O_Campylobacterales
day7_DO_0_12C_cell_enriched_000000003632,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000003743,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000005296,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000005346,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000006128,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000006424,S_Homo sapiens
day7_DO_0_12C_cell_enriched_000000008340,O_Synechococcales
day7_DO_0_12C_cell_enriched_000000009107,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000009614,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000009802,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000009840,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000010614,S_Homo sapiens
day7_DO_0_12C_cell_enriched_000000010956,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000011911,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000012271,G_Cutibacterium
day7_DO_0_12C_cell_enriched_000000012633,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000012736,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000012854,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000012986,S_Marinobacter salarius
day7_DO_0_12C_cell_enriched_000000013191,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000013397,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000013907,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000013957,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000014127,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000015433,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000015530,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000015601,G_Cutibacterium
day7_DO_0_12C_cell_enriched_000000015619,C_Gammaproteobacteria
day7_DO_0_12C_cell_enriched_000000016039,S_Marinobacter salarius
day7_DO_0_12C_cell_enriched_000000016286,S_Marinobacter salarius
day7_DO_0_12C_cell_enriched_000000016761,S_Marinobacter salarius
day7_DO_0_12C_cell_enriched_000000017306,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000017400,ST_Desulfocapsa sulfexigens DSM 10523
day7_DO_0_12C_cell_enriched_000000017615,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000017848,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000017880,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000017889,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000018059,ST_Desulfocapsa sulfexigens DSM 10523
day7_DO_0_12C_cell_enriched_000000018919,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000019414,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000019912,G_Thiomicrorhabdus
day7_DO_0_12C_cell_enriched_000000020489,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000020566,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000020788,S_Homo sapiens
day7_DO_0_12C_cell_enriched_000000021487,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000022521,S_Marinobacter salarius
day7_DO_0_12C_cell_enriched_000000023020,G_Cutibacterium
day7_DO_0_12C_cell_enriched_000000023369,S_Marinobacter salarius
day7_DO_0_12C_cell_enriched_000000023377,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000023849,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000023900,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000024307,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000024459,S_Thiomicrorhabdus sp.
day7_DO_0_12C_cell_enriched_000000024477,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000024603,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000024682,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000024827,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000025244,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000025429,ST_Desulfocapsa sulfexigens DSM 10523
day7_DO_0_12C_cell_enriched_000000025619,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000026180,S_Marinobacter salarius
day7_DO_0_12C_cell_enriched_000000027494,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000030476,S_Marinobacter salarius
day7_DO_0_12C_cell_enriched_000000030681,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000030840,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000031107,ST_Desulfocapsa sulfexigens DSM 10523
day7_DO_0_12C_cell_enriched_000000031509,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000031873,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000032194,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000032603,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000032617,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000032774,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000033301,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000034059,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000034210,S_uncultured Sulfurimonas sp.
day7_DO_0_12C_cell_enriched_000000034528,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000034915,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000034927,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000036064,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000036201,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000036213,S_Homo sapiens
day7_DO_0_12C_cell_enriched_000000036707,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000037959,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000037999,S_Thiomicrorhabdus sp.
day7_DO_0_12C_cell_enriched_000000038023,S_Homo sapiens
day7_DO_0_12C_cell_enriched_000000038423,S_Synechococcus sp. WH 8101
day7_DO_0_12C_cell_enriched_000000038489,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000039439,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000039712,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000041163,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000041209,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000041261,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000043293,F_Flavobacteriaceae
day7_DO_0_12C_cell_enriched_000000044186,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000044523,O_Synechococcales
day7_DO_0_12C_cell_enriched_000000044877,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000044989,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000045974,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000046753,O_Synechococcales
day7_DO_0_12C_cell_enriched_000000047507,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000047600,ST_Desulfocapsa sulfexigens DSM 10523
day7_DO_0_12C_cell_enriched_000000049528,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000049952,S_Homo sapiens
day7_DO_0_12C_cell_enriched_000000050030,S_Marinobacter salarius
day7_DO_0_12C_cell_enriched_000000050201,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000051089,S_Thiomicrorhabdus sp.
day7_DO_0_12C_cell_enriched_000000051693,S_Homo sapiens
day7_DO_0_12C_cell_enriched_000000052794,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000052890,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000052948,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000054025,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000054052,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000055457,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000055617,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000056304,C_Cyanophyceae
day7_DO_0_12C_cell_enriched_000000056354,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000056802,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000057141,S_Marinobacter salarius
day7_DO_0_12C_cell_enriched_000000057328,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000058132,ST_Desulfobacter postgatei 2ac9
day7_DO_0_12C_cell_enriched_000000058749,S_Marinobacter salarius
day7_DO_0_12C_cell_enriched_000000058796,S_Homo sapiens
day7_DO_0_12C_cell_enriched_000000058866,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000059201,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000059255,SK_Bacteria
day7_DO_0_12C_cell_enriched_000000059712,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000059769,SK_Bacteria
day7_DO_0_12C_cell_enriched_000000059834,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000059901,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000059905,SK_Bacteria
day7_DO_0_12C_cell_enriched_000000060289,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000060378,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000062112,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000062431,S_Marinobacter salarius
day7_DO_0_12C_cell_enriched_000000062536,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000062728,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000062739,NR_Chlorobium/Pelodictyon group
day7_DO_0_12C_cell_enriched_000000062886,CL_Terrabacteria group
day7_DO_0_12C_cell_enriched_000000063117,G_Cutibacterium
day7_DO_0_12C_cell_enriched_000000064770,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000064984,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000065207,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000066143,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000066310,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000066355,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000066887,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000067356,SK_Bacteria
day7_DO_0_12C_cell_enriched_000000068131,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000068224,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000068235,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000069040,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000069434,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000069507,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000070108,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000070156,S_Homo sapiens
day7_DO_0_12C_cell_enriched_000000071466,SK_Bacteria
day7_DO_0_12C_cell_enriched_000000071493,S_Marinobacter salarius
day7_DO_0_12C_cell_enriched_000000071844,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000072962,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000074220,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000074316,O_Synechococcales
day7_DO_0_12C_cell_enriched_000000075439,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000075457,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000076724,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000078158,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000078178,S_Marinobacter salarius
day7_DO_0_12C_cell_enriched_000000078840,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000079048,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000079238,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000079393,S_Marinobacter salarius
day7_DO_0_12C_cell_enriched_000000079550,S_Thiomicrorhabdus sp.
day7_DO_0_12C_cell_enriched_000000079927,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000080945,ST_Desulfocapsa sulfexigens DSM 10523
day7_DO_0_12C_cell_enriched_000000081097,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000081396,ST_Desulfocapsa sulfexigens DSM 10523
day7_DO_0_12C_cell_enriched_000000082200,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000082612,S_Thiomicrorhabdus sp.
day7_DO_0_12C_cell_enriched_000000082637,S_Homo sapiens
day7_DO_0_12C_cell_enriched_000000082819,ST_Desulfocapsa sulfexigens DSM 10523
day7_DO_0_12C_cell_enriched_000000082901,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000082986,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000083733,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000083879,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000084988,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000085439,ST_Desulfocapsa sulfexigens DSM 10523
day7_DO_0_12C_cell_enriched_000000085663,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000085792,S_Marinobacter salarius
day7_DO_0_12C_cell_enriched_000000086020,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000087788,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000088801,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000089016,ST_Desulfocapsa sulfexigens DSM 10523
day7_DO_0_12C_cell_enriched_000000089410,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000089524,S_Marinobacter salarius
day7_DO_0_12C_cell_enriched_000000089982,NR_cellular organisms
day7_DO_0_12C_cell_enriched_000000090246,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000090276,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000091490,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000091735,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000092263,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000092530,S_Synechococcus sp. PROS-7-1
day7_DO_0_12C_cell_enriched_000000093713,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000093903,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000094367,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000094680,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000096276,CL_Terrabacteria group
day7_DO_0_12C_cell_enriched_000000096458,SK_Bacteria
day7_DO_0_12C_cell_enriched_000000097063,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000097462,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000097819,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000098643,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000098818,CL_Terrabacteria group
day7_DO_0_12C_cell_enriched_000000098819,S_Thiomicrorhabdus sp.
day7_DO_0_12C_cell_enriched_000000099067,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000099482,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000099539,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000100450,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000100943,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000101209,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000101327,S_Thiomicrorhabdus sp.
day7_DO_0_12C_cell_enriched_000000101390,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000101528,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000101631,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000101951,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000102077,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000103171,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000104154,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000104414,ST_Desulfocapsa sulfexigens DSM 10523
day7_DO_0_12C_cell_enriched_000000105181,ST_Desulfocapsa sulfexigens DSM 10523
day7_DO_0_12C_cell_enriched_000000106031,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000106127,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000107919,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000108000,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000109781,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000109930,ST_Desulfocapsa sulfexigens DSM 10523
day7_DO_0_12C_cell_enriched_000000110247,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000110580,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000110669,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000111380,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000112324,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000112399,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000112480,G_Cutibacterium
day7_DO_0_12C_cell_enriched_000000113165,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000113384,G_Chlorobium
day7_DO_0_12C_cell_enriched_000000113550,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000114517,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000115255,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000116844,O_Synechococcales
day7_DO_0_12C_cell_enriched_000000116956,S_Chlorobium phaeovibrioides
day7_DO_0_12C_cell_enriched_000000117271,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000117769,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000117824,G_Micrococcus
day7_DO_0_12C_cell_enriched_000000118700,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000118724,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000118788,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000118806,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000119402,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000119491,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000120076,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000120207,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000120432,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000120448,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000120568,NR_unclassified Synechococcus
day7_DO_0_12C_cell_enriched_000000121024,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000121443,S_Thiomicrorhabdus sp.
day7_DO_0_12C_cell_enriched_000000121873,G_Cutibacterium
day7_DO_0_12C_cell_enriched_000000122128,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000122212,O_Synechococcales
day7_DO_0_12C_cell_enriched_000000122436,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000123409,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000123773,S_Cutibacterium acnes
day7_DO_0_12C_cell_enriched_000000123884,ST_Desulfocapsa sulfexigens DSM 10523
day7_DO_0_12C_cell_enriched_000000124431,S_Synechococcus sp. HK01-R
day7_DO_0_12C_cell_enriched_000000125761,G_Marinobacter
